"EDA 1 Understand the distribution of arrival dates, including the most common arrival days and summary statistics for lead times.",,,,,,
date_of_month,booking_count,,mean_lead_time,median_lead_time,std_dev_lead_time,
17,4406,,104.01,69,106.86,
5,4317,,,,,
15,4196,,,,,
25,4160,,,,,
26,4147,,,,,
9,4096,,,,,
12,4087,,,,,
16,4078,,,,,
2,4055,,,,,
19,4052,,,,,
20,4032,,,,,
18,4002,,,,,
24,3993,,,,,
28,3946,,,,,
8,3921,,,,,
3,3855,,,,,
30,3853,,,,,
6,3833,,,,,
14,3819,,,,,
27,3802,,,,,
21,3767,,,,,
4,3763,,,,,
13,3745,,,,,
7,3665,,,,,
1,3626,,,,,
23,3616,,,,,
11,3599,,,,,
22,3596,,,,,
29,3580,,,,,
10,3575,,,,,
31,2208,,,,,
