"EDA 16 Explore the impact of a guest's booking history on their likelihood of cancelling a current booking.
Calculate cancellation rates based on previous cancellations and noncanceled bookings",,,,,
reserved_room_type,assigned_room_type,count,,consistency,count
A,A,73598,,Consistent,104473
D,D,17736,,Inconsistent,14917
A,D,7548,,,
E,E,5923,,,
F,F,2707,,,
G,G,2041,,,
A,C,1447,,,
A,E,1156,,,
A,B,1123,,,
B,B,988,,,
C,C,883,,,
D,E,686,,,
H,H,584,,,
A,F,417,,,
E,F,404,,,
D,A,312,,,
A,I,215,,,
A,K,210,,,
D,F,204,,,
A,G,186,,,
F,G,116,,,
B,A,111,,,
E,G,100,,,
A,H,94,,,
D,G,82,,,
D,I,67,,,
D,K,44,,,
E,I,40,,,
D,C,34,,,
F,E,31,,,
D,B,27,,,
E,D,22,,,
F,B,17,,,
E,K,16,,,
E,A,15,,,
G,I,15,,,
G,F,14,,,
P,P,12,,,
C,G,10,,,
C,H,10,,,
F,I,10,,,
C,I,10,,,
H,G,10,,,
D,H,9,,,
B,G,8,,,
E,C,8,,,
G,H,7,,,
H,I,6,,,
F,A,6,,,
C,D,6,,,
C,A,5,,,
B,D,5,,,
G,A,5,,,
F,D,4,,,
C,E,4,,,
G,E,4,,,
G,K,4,,,
E,H,4,,,
F,H,3,,,
E,B,3,,,
F,K,3,,,
B,E,2,,,
G,C,2,,,
B,K,2,,,
B,F,2,,,
G,B,2,,,
C,F,2,,,
C,B,2,,,
H,D,1,,,
L,C,1,,,
L,H,1,,,
L,L,1,,,
L,B,1,,,
L,F,1,,,
L,A,1,,,
