"EDA 18 Explore how room type preferences vary across different customer types (e.g., Transient, Group). Identify if certain customer types have specific room preferences.",,
customer_type,reserved_room_type,preference_count
Transient,A,60948
Transient-Party,A,21814
Transient,D,16420
Transient,E,5569
Contract,A,2867
Transient,F,2663
Transient,G,1957
Transient-Party,D,1795
Contract,D,843
Transient,C,828
Transient-Party,E,756
Transient,B,637
Transient,H,574
Transient-Party,B,400
Group,A,365
Contract,E,177
Group,D,143
Transient-Party,G,124
Transient-Party,F,122
Contract,F,102
Transient-Party,C,89
Contract,B,75
Group,E,33
Transient-Party,H,24
Group,G,12
Transient,P,11
Contract,C,10
Group,F,10
Transient,L,6
Group,B,6
Group,C,5
Group,H,2
Group,P,1
Contract,H,1
Contract,G,1
