"EDA 2 Identify peak booking months and analyze reasons for spikes in bookings, including holidays or
events.",,,
arrival_date_year,arrival_date_month,booking_count,
2017,May,6313,
2016,October,6203,
2017,April,5661,
2017,June,5647,
2016,May,5478,
2016,April,5428,
2016,September,5394,
2017,July,5313,
2016,June,5292,
2015,September,5114,
2016,August,5063,
2017,March,4970,
2015,October,4957,
2017,August,4925,
2016,March,4824,
2016,July,4572,
2016,November,4454,
2017,February,4177,
2016,February,3891,
2015,August,3889,
2016,December,3860,
2017,January,3681,
2015,December,2920,
2015,July,2776,
2015,November,2340,
2016,January,2248,
