"EDA 21 .Understand the distribution of reservation statuses and calculate summary statistics for reservation
status dates.",,,,,,,
reservation_status_date,reservation_status,,checkout_date,checkout_count,,month,status_count
01-07-2015,Check-Out,,08-12-2015,243,,1,10681
01-07-2015,Check-Out,,26-06-2016,228,,2,9498
02-07-2015,Check-Out,,29-05-2016,225,,3,10230
02-07-2015,Check-Out,,14-02-2016,207,,4,9999
03-07-2015,Check-Out,,22-11-2015,202,,5,10304
03-07-2015,Check-Out,,16-10-2016,194,,6,9278
03-07-2015,Check-Out,,11-12-2016,191,,7,12106
03-07-2015,Check-Out,,19-01-2017,188,,8,11249
06-05-2015,Canceled,,25-09-2016,188,,9,9403
22-04-2015,Canceled,,26-03-2017,188,,10,11143
23-06-2015,Canceled,,25-05-2017,185,,11,8099
05-07-2015,Check-Out,,02-01-2017,181,,12,7400
05-07-2015,Check-Out,,09-04-2017,181,,,
05-07-2015,Check-Out,,27-03-2016,177,,,
05-07-2015,Check-Out,,08-05-2016,173,,,
05-07-2015,Check-Out,,12-10-2015,173,,,
05-07-2015,Check-Out,,03-01-2016,173,,,
02-07-2015,Check-Out,,10-10-2016,171,,,
02-07-2015,Check-Out,,26-05-2016,171,,,
05-07-2015,Check-Out,,15-07-2017,171,,,
06-07-2015,Check-Out,,24-02-2017,169,,,
07-07-2015,Check-Out,,29-04-2017,169,,,
07-07-2015,Check-Out,,15-09-2016,168,,,
07-07-2015,Check-Out,,28-05-2017,168,,,
01-07-2015,Check-Out,,09-10-2015,165,,,
08-07-2015,Check-Out,,28-10-2015,159,,,
08-07-2015,Check-Out,,18-10-2015,158,,,
11-05-2015,Canceled,,11-06-2017,158,,,
08-07-2015,Check-Out,,31-10-2015,157,,,
08-07-2015,Check-Out,,19-10-2015,157,,,
15-07-2015,Check-Out,,04-10-2015,157,,,
16-07-2015,Check-Out,,24-05-2017,156,,,
29-05-2015,Canceled,,17-06-2016,156,,,
08-07-2015,Check-Out,,27-08-2017,156,,,
19-05-2015,Canceled,,06-10-2016,156,,,
19-06-2015,Canceled,,06-11-2016,155,,,
06-07-2015,Check-Out,,16-05-2016,155,,,
06-07-2015,Check-Out,,26-02-2017,154,,,
23-05-2015,Canceled,,19-02-2017,154,,,
07-07-2015,Check-Out,,30-09-2015,154,,,
18-05-2015,Canceled,,01-08-2016,153,,,
07-07-2015,Check-Out,,06-03-2016,153,,,
07-07-2015,Check-Out,,16-08-2015,152,,,
07-07-2015,Check-Out,,13-03-2016,152,,,
09-07-2015,Check-Out,,18-09-2016,151,,,
02-06-2015,Canceled,,02-05-2017,151,,,
09-07-2015,Check-Out,,21-09-2016,150,,,
09-07-2015,Check-Out,,04-12-2016,150,,,
09-07-2015,Check-Out,,19-05-2016,150,,,
09-07-2015,Check-Out,,30-07-2016,150,,,
09-07-2015,Check-Out,,12-06-2016,150,,,
13-07-2015,Check-Out,,15-05-2016,149,,,
16-07-2015,Check-Out,,05-03-2017,149,,,
03-07-2015,Check-Out,,15-11-2015,148,,,
03-07-2015,Check-Out,,20-08-2016,148,,,
03-07-2015,Check-Out,,28-10-2016,147,,,
03-07-2015,Check-Out,,20-11-2016,147,,,
03-07-2015,Check-Out,,12-03-2017,146,,,
03-07-2015,Check-Out,,17-04-2016,146,,,
04-07-2015,Check-Out,,13-07-2017,146,,,
04-07-2015,Check-Out,,20-10-2016,146,,,
04-07-2015,Check-Out,,28-04-2017,145,,,
05-07-2015,Check-Out,,18-08-2016,145,,,
05-07-2015,Check-Out,,06-07-2017,144,,,
29-06-2015,Canceled,,20-04-2016,144,,,
