"EDA 22Explore how reservation statuses vary across different customer types (e.g., Transient, Group)
using Excel or SQL. Calculate cancellation rates by customer type.",,,,,,,
customer_type,reservation_status,status_count,,customer_type,canceled_count,check_out_count,cancellation_rate
Contract,Check-Out,2814,,Contract,1236,2814,43.92324
Contract,Canceled,1236,,Group,55,518,10.61776
Contract,No-Show,26,,Transient,35557,53099,66.9636
Group,Check-Out,518,,Transient-Party,6169,18735,32.92768
Group,Canceled,55,,,,,
Group,No-Show,4,,,,,
Transient,Check-Out,53099,,,,,
Transient,Canceled,35557,,,,,
Transient,No-Show,957,,,,,
Transient-Party,Check-Out,18735,,,,,
Transient-Party,Canceled,6169,,,,,
Transient-Party,No-Show,220,,,,,
